policy_id,policy_type,line_of_business,policy_start_date,policy_end_date,agent_id,channel,premium_tier
POL-508F9D46,Personal,Auto,2019-12-11,2024-12-09,AGT-6446,Broker,Low
POL-C2F2D5DA,Personal,Auto,2019-11-14,2028-11-11,AGT-9904,Agent,Mid
POL-94C1BA96,Personal,Auto,2021-11-26,2030-11-24,AGT-3055,Digital,Mid
POL-7D654B50,Personal,Auto,2020-05-11,2027-05-10,AGT-9071,Agent,Low
POL-7EC227F8,Personal,Auto,2018-08-17,2024-08-15,AGT-4196,Broker,High
POL-2ABC3172,Personal,Auto,2018-06-07,2023-06-06,AGT-9322,Agent,Mid
POL-6DBC6984,Personal,Auto,2016-03-26,2026-03-24,AGT-8047,Direct,High
POL-160E470F,Personal,Auto,2021-03-17,2027-03-16,AGT-2919,Agent,Low
POL-7C5BC48D,Personal,Auto,2017-05-21,2027-05-19,AGT-2884,Digital,Mid
POL-B7FA621E,Personal,Auto,2019-07-21,2027-07-19,AGT-5880,Agent,Low
POL-3BFEDB6A,Personal,Auto,2019-02-14,2028-02-12,AGT-5524,Broker,Low
POL-7BFA3C27,Personal,Auto,2018-09-14,2027-09-12,AGT-3113,Direct,Low
POL-AE09E832,Personal,Auto,2016-06-16,2026-06-14,AGT-3343,Direct,Low
POL-4340769A,Personal,Auto,2016-11-17,2021-11-16,AGT-9093,Direct,Low
POL-59266B44,Personal,Homeowners,2020-04-11,2030-04-09,AGT-7782,Broker,High
POL-9D6EFB94,Personal,Auto,2018-01-19,2023-01-18,AGT-2720,Agent,Low
POL-71AF15A9,Personal,Auto,2015-04-24,2025-04-21,AGT-7526,Agent,Low
POL-04B04846,Personal,Auto,2019-12-22,2025-12-20,AGT-2385,Broker,Mid
POL-C7FA55D2,Personal,Auto,2017-04-28,2027-04-26,AGT-5004,Agent,Low
POL-F14191F8,Personal,Auto,2020-09-13,2025-09-12,AGT-1109,Agent,Low
POL-82CA3C26,Personal,Homeowners,2017-11-04,2024-11-02,AGT-6842,Direct,High
POL-086DC743,Personal,Homeowners,2016-04-13,2024-04-11,AGT-2637,Agent,High
POL-CC4A8F2D,Personal,Auto,2015-08-23,2025-08-20,AGT-3124,Broker,Mid
POL-1FB9D910,Personal,Auto,2018-03-16,2023-03-15,AGT-2707,Agent,Low
POL-A2D91346,Personal,Auto,2018-05-13,2023-05-12,AGT-2650,Broker,Mid
POL-BE52EE8C,Personal,Auto,2019-04-19,2027-04-17,AGT-1697,Direct,Low
POL-F136D9F1,Personal,Auto,2018-09-03,2023-09-02,AGT-5989,Digital,Mid
POL-B267BF4D,Personal,Auto,2017-11-16,2026-11-14,AGT-8808,Digital,High
POL-77DC3B54,Personal,Auto,2017-04-03,2022-04-02,AGT-3713,Direct,High
POL-5D791E3F,Commercial,Liability,2017-04-17,2027-04-15,AGT-8019,Agent,High
POL-932DDF71,Personal,Auto,2021-10-27,2029-10-25,AGT-5891,Agent,Low
POL-009866E8,Personal,Auto,2016-06-17,2026-06-15,AGT-3290,Broker,Mid
POL-E8D9D416,Personal,Auto,2021-07-07,2026-07-06,AGT-1555,Agent,Mid
POL-B1D10C1E,Personal,Auto,2017-09-15,2023-09-14,AGT-8048,Broker,Mid
POL-B9F355BB,Personal,Auto,2015-02-20,2022-02-18,AGT-1206,Agent,Mid
POL-A5592894,Personal,Auto,2016-11-14,2021-11-13,AGT-4799,Direct,Mid
POL-CA63EF65,Commercial,Commercial,2015-05-14,2020-05-12,AGT-1308,Broker,High
POL-B9DDA9DE,Personal,Auto,2019-08-29,2025-08-27,AGT-7978,Broker,Mid
POL-A3B04FE6,Personal,Auto,2018-06-07,2027-06-05,AGT-9907,Broker,Low
POL-71AF74EA,Personal,Auto,2017-10-02,2026-09-30,AGT-3906,Broker,Mid
POL-CC166C22,Personal,Auto,2019-08-12,2024-08-10,AGT-3822,Broker,Mid
POL-98935368,Personal,Auto,2019-03-05,2024-03-03,AGT-6081,Agent,Mid
POL-43E11562,Personal,Auto,2021-03-10,2029-03-08,AGT-5517,Digital,Low
POL-70664F34,Personal,Auto,2021-11-17,2028-11-15,AGT-4434,Broker,Mid
POL-88A96B36,Personal,Auto,2019-07-09,2028-07-06,AGT-4292,Digital,Mid
POL-58EC1BF2,Personal,Homeowners,2020-04-10,2026-04-09,AGT-2688,Digital,Low
POL-3F5B2133,Personal,Auto,2019-02-22,2026-02-20,AGT-3256,Agent,Low
POL-7E08D2BC,Personal,Homeowners,2018-02-16,2024-02-15,AGT-6270,Broker,Low
POL-78C652DC,Personal,Auto,2019-12-02,2025-11-30,AGT-7608,Broker,Low
POL-AE7C7A3C,Personal,Auto,2015-12-23,2024-12-20,AGT-7756,Direct,Mid
POL-4878B2D7,Personal,Auto,2019-05-24,2026-05-22,AGT-5647,Broker,Low
POL-B4EEE52D,Personal,Homeowners,2021-03-15,2029-03-13,AGT-7777,Agent,Mid
POL-0D0247D7,Personal,Auto,2015-06-02,2020-05-31,AGT-6327,Agent,Low
POL-2C06F298,Commercial,Commercial,2020-02-19,2028-02-17,AGT-4206,Direct,High
POL-56AE8953,Personal,Auto,2021-07-20,2028-07-18,AGT-4179,Broker,Low
POL-92DE613E,Personal,Auto,2016-08-16,2026-08-14,AGT-5667,Broker,High
POL-9E9F6CD7,Commercial,Liability,2018-12-26,2025-12-24,AGT-3768,Agent,High
POL-019EB7E7,Personal,Auto,2021-04-27,2026-04-26,AGT-7873,Direct,Mid
POL-5213B55D,Personal,Homeowners,2021-03-14,2030-03-12,AGT-2666,Agent,Mid
POL-60F30372,Personal,Auto,2016-02-18,2021-02-16,AGT-1490,Direct,High
POL-0B637013,Personal,Homeowners,2017-05-18,2027-05-16,AGT-5419,Agent,High
POL-F6506EBD,Personal,Auto,2019-08-08,2026-08-06,AGT-1646,Agent,Mid
POL-BEF845DF,Personal,Auto,2016-01-25,2025-01-22,AGT-2724,Digital,Mid
POL-EAB814CA,Personal,Auto,2017-10-05,2025-10-03,AGT-4385,Agent,Low
POL-02A64613,Personal,Auto,2015-06-17,2022-06-15,AGT-1037,Agent,High
POL-9E84293B,Personal,Auto,2016-10-16,2024-10-14,AGT-3011,Digital,Low
POL-3F999ABD,Personal,Auto,2018-06-19,2024-06-17,AGT-5902,Agent,High
POL-23CBE4C2,Personal,Auto,2019-02-26,2024-02-25,AGT-4371,Digital,High
POL-50166931,Personal,Auto,2019-01-08,2028-01-06,AGT-9066,Direct,Mid
POL-59A5CF60,Personal,Auto,2019-07-23,2029-07-20,AGT-1843,Agent,High
POL-F79EA705,Personal,Auto,2017-07-16,2027-07-14,AGT-7476,Direct,Low
POL-BE4497D1,Personal,Auto,2017-10-24,2023-10-23,AGT-6327,Agent,Mid
POL-AD281065,Personal,Auto,2015-11-17,2022-11-15,AGT-6797,Digital,Low
POL-B2905DEE,Personal,Auto,2016-02-28,2023-02-26,AGT-7044,Broker,Low
POL-6A4CB5DD,Commercial,Commercial,2017-04-25,2026-04-23,AGT-1471,Broker,High
POL-4CFA2D2F,Personal,Auto,2016-03-16,2024-03-14,AGT-8125,Agent,Mid
POL-89FD1953,Personal,Auto,2015-02-08,2024-02-06,AGT-3981,Digital,Mid
POL-8820FE72,Personal,Auto,2016-01-01,2025-12-29,AGT-6854,Agent,Low
POL-6273B8A3,Personal,Auto,2019-01-31,2026-01-29,AGT-3645,Agent,Low
POL-F49F00E9,Personal,Auto,2018-07-11,2026-07-09,AGT-4567,Digital,Low
POL-48EE7FD7,Personal,Auto,2021-02-25,2029-02-23,AGT-7299,Agent,Mid
POL-32AD3028,Commercial,Liability,2019-03-13,2029-03-10,AGT-9413,Agent,High
POL-2FC76A71,Personal,Auto,2018-02-13,2025-02-11,AGT-8900,Direct,Mid
POL-0043D5E0,Personal,Auto,2016-09-21,2022-09-20,AGT-7536,Direct,High
POL-715114DA,Commercial,Liability,2018-08-21,2025-08-19,AGT-5846,Broker,High
POL-C792A84C,Personal,Auto,2015-12-18,2023-12-16,AGT-5748,Agent,Mid
POL-DB2DE9E4,Personal,Auto,2018-02-10,2028-02-08,AGT-9689,Digital,Low
POL-ED179E30,Commercial,Commercial,2017-03-18,2026-03-16,AGT-2861,Direct,High
POL-4A860564,Commercial,Commercial,2017-06-16,2022-06-15,AGT-9585,Broker,High
POL-AEED4261,Personal,Auto,2017-08-25,2025-08-23,AGT-6840,Broker,Low
POL-95064CF8,Personal,Auto,2019-02-17,2024-02-16,AGT-6544,Broker,High
POL-49FA5B92,Personal,Auto,2020-03-18,2027-03-17,AGT-6324,Agent,Low
POL-0A37820D,Personal,Auto,2019-06-03,2029-05-31,AGT-8311,Agent,Low
POL-F12CC79A,Personal,Auto,2018-01-07,2028-01-05,AGT-7149,Broker,Mid
POL-C0ACC94D,Personal,Auto,2018-05-25,2023-05-24,AGT-1853,Digital,High
POL-833E8B27,Personal,Auto,2015-10-04,2020-10-02,AGT-8029,Agent,Mid
POL-FDDCB1A5,Personal,Homeowners,2019-07-12,2028-07-09,AGT-7557,Agent,Mid
POL-FFBFADBC,Personal,Auto,2018-06-08,2025-06-06,AGT-9234,Broker,Mid
POL-1E3CB26E,Personal,Auto,2017-06-28,2024-06-26,AGT-9427,Agent,High
POL-14CF3903,Personal,Auto,2017-12-12,2027-12-10,AGT-9540,Direct,Mid
POL-2906CEAE,Personal,Homeowners,2021-07-09,2031-07-07,AGT-1384,Digital,Low
POL-6274D262,Personal,Auto,2018-07-15,2028-07-12,AGT-6671,Direct,Mid
POL-7B82CF76,Personal,Auto,2018-12-06,2027-12-04,AGT-9408,Agent,High
POL-7FC9628E,Personal,Auto,2018-02-27,2028-02-25,AGT-9692,Broker,Low
POL-08717158,Personal,Auto,2017-02-05,2026-02-03,AGT-5943,Direct,Mid
POL-3850011F,Personal,Auto,2018-06-14,2028-06-11,AGT-9201,Direct,Mid
POL-15CFF5E9,Personal,Auto,2017-04-27,2025-04-25,AGT-8923,Direct,Mid
POL-A64C467C,Personal,Auto,2018-03-16,2023-03-15,AGT-1023,Direct,Low
POL-9CB2624C,Personal,Auto,2019-02-13,2028-02-11,AGT-8964,Agent,Low
POL-D53554BC,Commercial,Liability,2015-11-17,2025-11-14,AGT-6737,Broker,High
POL-C4DA6738,Personal,Auto,2019-08-13,2025-08-11,AGT-6162,Agent,Low
POL-CFFEAD8B,Personal,Auto,2017-09-10,2024-09-08,AGT-2606,Agent,Low
POL-2C1658AE,Personal,Auto,2019-02-13,2027-02-11,AGT-9267,Broker,Mid
POL-44673F4E,Personal,Homeowners,2019-05-05,2027-05-03,AGT-3656,Agent,Low
POL-A406B526,Personal,Auto,2019-08-15,2028-08-12,AGT-4759,Agent,Mid
POL-843096B0,Personal,Auto,2018-07-12,2025-07-10,AGT-3677,Agent,High
POL-21D912D0,Personal,Auto,2021-09-11,2031-09-09,AGT-9725,Agent,Low
POL-C11DC71F,Commercial,Commercial,2018-09-02,2027-08-31,AGT-5347,Agent,High
POL-7F537359,Personal,Auto,2019-05-31,2029-05-28,AGT-2026,Direct,Low
POL-580C85DC,Personal,Auto,2019-10-13,2027-10-11,AGT-1097,Digital,Mid
POL-C194C198,Personal,Auto,2016-04-04,2021-04-03,AGT-9820,Digital,Mid
POL-AC1FA6F5,Commercial,Liability,2017-01-30,2027-01-28,AGT-3121,Digital,High
POL-D93A2D0F,Personal,Auto,2017-11-30,2022-11-29,AGT-7935,Direct,Mid
POL-76C5CB08,Personal,Auto,2017-01-09,2023-01-08,AGT-1262,Broker,Low
POL-13BF7DF7,Personal,Homeowners,2017-04-14,2023-04-13,AGT-9070,Agent,Mid
POL-12BB994F,Commercial,Commercial,2017-02-11,2023-02-10,AGT-6854,Direct,High
POL-036C0398,Personal,Auto,2018-03-26,2027-03-24,AGT-3022,Digital,Low
POL-24FD736A,Personal,Auto,2016-05-24,2023-05-23,AGT-9002,Broker,Mid
POL-3A643EE6,Personal,Auto,2020-02-17,2026-02-15,AGT-3680,Direct,Low
POL-FBE736A1,Personal,Homeowners,2018-06-20,2023-06-19,AGT-9979,Digital,High
POL-6D9B6ABC,Personal,Auto,2019-12-05,2025-12-03,AGT-6395,Direct,Mid
POL-E431543D,Personal,Auto,2015-02-19,2024-02-17,AGT-5036,Agent,High
POL-24E9E05B,Personal,Auto,2018-12-05,2027-12-03,AGT-1526,Direct,Low
POL-B573D907,Personal,Auto,2015-05-31,2021-05-29,AGT-3341,Direct,High
POL-2DCD439C,Personal,Homeowners,2019-08-05,2024-08-03,AGT-1524,Digital,High
POL-B4795FF5,Personal,Auto,2017-06-11,2025-06-09,AGT-8677,Agent,Mid
POL-A0447A13,Personal,Auto,2021-04-26,2030-04-24,AGT-1901,Agent,Mid
POL-FB9921E2,Commercial,Commercial,2017-02-09,2022-02-08,AGT-2018,Broker,High
POL-749A852D,Personal,Homeowners,2018-08-05,2027-08-03,AGT-2120,Digital,High
POL-3F1934A5,Personal,Homeowners,2017-12-01,2023-11-30,AGT-9767,Digital,Low
POL-017E4843,Personal,Auto,2018-07-10,2024-07-08,AGT-9734,Digital,Low
POL-E4511A24,Personal,Auto,2018-08-07,2026-08-05,AGT-7432,Digital,High
POL-12E79A90,Personal,Auto,2017-08-23,2022-08-22,AGT-1663,Broker,Mid
POL-946E0379,Personal,Auto,2016-05-21,2022-05-20,AGT-5534,Agent,High
POL-10202FE1,Commercial,Liability,2016-02-14,2021-02-12,AGT-9534,Digital,High
POL-C3701C8B,Personal,Auto,2016-07-04,2022-07-03,AGT-1869,Direct,Low
POL-0111C6AD,Personal,Auto,2021-11-14,2030-11-12,AGT-8141,Direct,High
POL-328ED67A,Commercial,Commercial,2017-04-25,2023-04-24,AGT-1163,Agent,High
POL-2238EEE7,Personal,Auto,2015-11-15,2020-11-13,AGT-8234,Agent,Low
POL-F0A355EC,Personal,Auto,2021-11-08,2027-11-07,AGT-5900,Broker,Mid
POL-D980432C,Personal,Auto,2015-03-31,2020-03-29,AGT-8990,Digital,High
POL-309AA908,Personal,Auto,2017-07-29,2025-07-27,AGT-4724,Agent,Mid
POL-8C156599,Personal,Auto,2019-09-30,2029-09-27,AGT-8067,Agent,Low
POL-90174DB9,Personal,Auto,2020-06-29,2026-06-28,AGT-8583,Agent,Mid
POL-BCEABB90,Commercial,Liability,2019-09-13,2028-09-10,AGT-3923,Broker,High
POL-132E7D88,Personal,Auto,2018-11-29,2025-11-27,AGT-6780,Direct,Mid
POL-91AB129F,Personal,Auto,2021-08-17,2026-08-16,AGT-5147,Direct,Low
POL-69667F71,Personal,Auto,2015-11-02,2024-10-30,AGT-4886,Broker,Low
POL-74C125CE,Personal,Auto,2021-10-20,2027-10-19,AGT-8196,Agent,Mid
POL-597D52F4,Personal,Auto,2020-10-23,2028-10-21,AGT-3033,Agent,Low
POL-8485B20F,Personal,Auto,2021-11-08,2029-11-06,AGT-2076,Agent,High
POL-9AC0D896,Personal,Auto,2017-03-24,2025-03-22,AGT-5323,Direct,Low
POL-A98095B1,Personal,Auto,2016-01-07,2021-01-05,AGT-8394,Broker,Mid
POL-832123EF,Commercial,Liability,2019-02-25,2025-02-23,AGT-2466,Agent,High
POL-1F12E895,Personal,Auto,2018-04-02,2027-03-31,AGT-4061,Agent,Mid
POL-8A8DDFB6,Personal,Auto,2018-09-09,2028-09-06,AGT-7002,Digital,Mid
POL-6D781289,Personal,Auto,2021-07-06,2026-07-05,AGT-5291,Broker,Low
POL-4B5E0E1F,Commercial,Commercial,2018-06-21,2025-06-19,AGT-6450,Agent,High
POL-D81FA33E,Personal,Auto,2017-01-04,2027-01-02,AGT-5751,Broker,Mid
POL-ABF28A9F,Personal,Auto,2017-09-07,2023-09-06,AGT-8289,Direct,High
POL-3EED82BA,Personal,Auto,2016-05-12,2023-05-11,AGT-8876,Direct,Mid
POL-AA277249,Personal,Auto,2016-10-04,2026-10-02,AGT-5045,Broker,Low
POL-2AAA92DB,Personal,Auto,2016-02-11,2026-02-08,AGT-4884,Direct,Low
POL-E7A2C903,Personal,Auto,2020-04-17,2028-04-15,AGT-3507,Agent,High
POL-7CDBAED7,Personal,Auto,2019-01-20,2028-01-18,AGT-4993,Digital,Mid
POL-4300A5BB,Personal,Auto,2018-04-14,2026-04-12,AGT-8526,Broker,Low
POL-A7A76862,Commercial,Liability,2017-12-04,2023-12-03,AGT-5514,Digital,High
POL-6F843FED,Personal,Auto,2019-06-29,2029-06-26,AGT-7218,Digital,Low
POL-ECE23CC2,Personal,Auto,2020-06-09,2025-06-08,AGT-4765,Agent,Low
POL-629B9BD2,Personal,Auto,2020-04-09,2025-04-08,AGT-7359,Broker,High
POL-82DBBAB7,Personal,Auto,2018-04-07,2026-04-05,AGT-7411,Agent,Mid
POL-9F423456,Personal,Auto,2020-08-31,2030-08-29,AGT-5752,Broker,Low
POL-B4A8BCA4,Personal,Auto,2018-12-26,2027-12-24,AGT-9409,Agent,High
POL-A827CD75,Personal,Homeowners,2018-09-30,2027-09-28,AGT-8882,Direct,High
POL-37FB5379,Commercial,Commercial,2020-09-26,2027-09-25,AGT-2425,Direct,High
POL-8709B4EB,Commercial,Liability,2017-06-22,2024-06-20,AGT-3049,Broker,High
POL-D29C9C5C,Commercial,Liability,2017-02-06,2024-02-05,AGT-9592,Direct,High
POL-C31C8F03,Commercial,Liability,2017-09-22,2023-09-21,AGT-4614,Agent,High
POL-5A75803D,Personal,Auto,2018-10-23,2025-10-21,AGT-3793,Digital,High
POL-C34A71C8,Personal,Auto,2018-07-06,2023-07-05,AGT-8165,Broker,Low
POL-9AE5186A,Personal,Auto,2019-02-03,2025-02-01,AGT-6418,Agent,Low
POL-1FA4FBDD,Personal,Auto,2018-09-18,2028-09-15,AGT-2196,Agent,Low
POL-2956DA3A,Personal,Auto,2016-12-02,2025-11-30,AGT-1825,Digital,Low
POL-B4C6D644,Personal,Homeowners,2020-03-23,2025-03-22,AGT-8272,Agent,High
POL-CA7B4C98,Personal,Auto,2017-02-28,2023-02-27,AGT-7882,Agent,High
POL-E1AA2D54,Personal,Auto,2021-09-27,2027-09-26,AGT-4173,Digital,Low
POL-444E8BE7,Personal,Auto,2016-05-01,2022-04-30,AGT-8761,Agent,High
POL-F5EB6F41,Personal,Auto,2018-09-19,2027-09-17,AGT-2129,Agent,Mid
POL-0E918FAB,Personal,Auto,2018-09-14,2028-09-11,AGT-8820,Direct,Low
POL-63F0C5BC,Personal,Homeowners,2020-04-07,2029-04-05,AGT-1712,Direct,High
POL-620F1A95,Personal,Auto,2016-01-16,2023-01-14,AGT-6723,Agent,Low
POL-01CFFFC5,Personal,Auto,2020-07-21,2025-07-20,AGT-8586,Broker,Low
POL-60395D9F,Personal,Auto,2018-05-29,2023-05-28,AGT-6573,Agent,Mid
POL-B7A80525,Personal,Auto,2018-11-09,2027-11-07,AGT-8006,Broker,High
POL-700251CB,Personal,Auto,2018-05-11,2027-05-09,AGT-4093,Broker,Low
POL-18E24859,Personal,Auto,2015-04-02,2023-03-31,AGT-3592,Digital,Low
POL-B9835E3C,Personal,Auto,2018-11-10,2026-11-08,AGT-3393,Direct,Mid
POL-3E281C5C,Personal,Auto,2017-09-26,2027-09-24,AGT-2047,Broker,Mid
POL-E2D844F7,Commercial,Liability,2017-08-14,2026-08-12,AGT-3495,Direct,High
POL-B94BA275,Personal,Auto,2019-12-15,2024-12-13,AGT-3224,Broker,Mid
POL-E64B579A,Commercial,Commercial,2018-10-13,2025-10-11,AGT-7809,Agent,High
POL-D56C608F,Personal,Auto,2015-11-13,2020-11-11,AGT-2916,Broker,Mid
POL-96EE28F6,Personal,Auto,2015-10-19,2022-10-17,AGT-2493,Agent,Low
POL-FC6CA9A7,Personal,Homeowners,2016-05-26,2024-05-24,AGT-7596,Broker,High
POL-34BE7590,Personal,Auto,2016-01-23,2022-01-21,AGT-5840,Direct,Low
POL-8EB9A44E,Personal,Auto,2018-08-10,2023-08-09,AGT-2939,Direct,Mid
POL-B757FD9C,Personal,Auto,2016-10-06,2023-10-05,AGT-7352,Broker,Low
POL-7EC93CF9,Personal,Auto,2020-12-27,2028-12-25,AGT-2944,Agent,Low
POL-65291833,Personal,Auto,2016-09-05,2025-09-03,AGT-8069,Broker,High
POL-48F205FA,Personal,Homeowners,2015-07-27,2020-07-25,AGT-1290,Broker,High
POL-D93D1EB4,Personal,Homeowners,2020-07-29,2026-07-28,AGT-6310,Broker,High
POL-A04DB918,Personal,Auto,2017-02-11,2026-02-09,AGT-6371,Broker,Mid
POL-B3ABE4B3,Personal,Auto,2017-01-03,2026-01-01,AGT-4355,Broker,High
POL-809751D3,Personal,Auto,2021-01-17,2031-01-15,AGT-7200,Digital,Low
POL-BF43F696,Personal,Auto,2021-11-27,2030-11-25,AGT-4417,Direct,Mid
POL-D1869F91,Personal,Auto,2019-10-16,2029-10-13,AGT-6880,Agent,Low
POL-A8F8AACE,Commercial,Liability,2015-04-05,2023-04-03,AGT-3011,Broker,High
POL-538DC279,Commercial,Commercial,2018-06-04,2028-06-01,AGT-6116,Agent,High
POL-01E138CA,Personal,Auto,2021-06-26,2028-06-24,AGT-7805,Agent,Mid
POL-EDF5C0C7,Personal,Auto,2021-04-01,2031-03-30,AGT-9693,Agent,Low
POL-C4AB72FA,Personal,Auto,2016-06-03,2023-06-02,AGT-4242,Agent,Mid
POL-B5CC6135,Personal,Auto,2017-05-07,2024-05-05,AGT-5254,Agent,High
POL-18826A5E,Personal,Auto,2017-09-11,2026-09-09,AGT-5286,Broker,Low
POL-53996E67,Personal,Auto,2016-10-03,2023-10-02,AGT-8740,Broker,High
POL-7ED5379E,Personal,Auto,2019-02-05,2024-02-04,AGT-9662,Broker,Low
POL-18F960AF,Personal,Auto,2017-06-19,2027-06-17,AGT-6813,Agent,Mid
POL-039F8639,Commercial,Liability,2017-12-28,2024-12-26,AGT-8398,Broker,High
POL-681FF021,Personal,Auto,2015-11-14,2025-11-11,AGT-1757,Broker,Low
POL-F5B40D29,Commercial,Liability,2018-10-17,2025-10-15,AGT-7832,Direct,High
POL-EF7DCC77,Personal,Auto,2016-09-25,2026-09-23,AGT-8289,Agent,Mid
POL-E26E8BD9,Personal,Auto,2018-01-02,2025-12-31,AGT-7433,Agent,Mid
POL-7EFE417D,Personal,Auto,2016-12-21,2025-12-19,AGT-6258,Digital,Mid
POL-186D2904,Personal,Auto,2021-09-26,2030-09-24,AGT-9095,Agent,Mid
POL-4AB163D4,Personal,Auto,2016-11-20,2022-11-19,AGT-6881,Direct,Low
POL-8C299FE2,Personal,Auto,2018-11-28,2027-11-26,AGT-8616,Direct,Low
POL-F68EF20F,Commercial,Commercial,2016-04-02,2026-03-31,AGT-2621,Direct,High
POL-3415B256,Personal,Auto,2015-01-06,2023-01-04,AGT-6987,Agent,Low
POL-2EA1494D,Personal,Auto,2016-08-28,2026-08-26,AGT-4936,Broker,Low
POL-13650506,Personal,Auto,2015-06-17,2025-06-14,AGT-8813,Agent,Low
POL-E533407F,Personal,Auto,2016-01-08,2024-01-06,AGT-8924,Broker,Mid
POL-16C3A10D,Personal,Auto,2018-04-09,2025-04-07,AGT-8595,Direct,Mid
POL-7315C8FE,Personal,Auto,2019-12-28,2029-12-25,AGT-2938,Agent,Low
POL-77A6FDC4,Commercial,Liability,2015-05-13,2021-05-11,AGT-5430,Broker,High
POL-98D6DD32,Personal,Homeowners,2018-04-06,2026-04-04,AGT-1001,Broker,High
POL-4F4B41EE,Personal,Auto,2018-08-27,2027-08-25,AGT-9815,Digital,High
POL-A738BA3D,Personal,Auto,2016-08-30,2026-08-28,AGT-3317,Agent,Mid
POL-B8AD682B,Personal,Auto,2017-05-02,2023-05-01,AGT-6619,Agent,Low
POL-89D956D8,Commercial,Commercial,2015-11-06,2020-11-04,AGT-5387,Broker,High
POL-0E33FAE4,Personal,Auto,2016-07-30,2023-07-29,AGT-9140,Direct,Low
POL-D1858BC2,Personal,Auto,2018-02-28,2028-02-26,AGT-8390,Broker,Mid
POL-7F0C1F1F,Personal,Auto,2021-04-29,2029-04-27,AGT-7991,Agent,Low
POL-3F8E8F31,Personal,Homeowners,2021-11-06,2026-11-05,AGT-6788,Direct,High
POL-22118A69,Personal,Auto,2021-02-02,2026-02-01,AGT-2074,Broker,Mid
POL-E51FD2DB,Personal,Auto,2017-01-05,2024-01-04,AGT-9270,Broker,Mid
POL-FEC6B21F,Personal,Homeowners,2015-08-28,2022-08-26,AGT-1563,Digital,Low
POL-FEB4F49D,Personal,Auto,2017-06-11,2022-06-10,AGT-5099,Digital,High
POL-88FA06F7,Commercial,Commercial,2016-04-02,2023-04-01,AGT-4414,Agent,High
POL-363A6BBA,Personal,Auto,2015-06-22,2022-06-20,AGT-4516,Broker,Mid
POL-611EB2F8,Personal,Auto,2015-03-09,2021-03-07,AGT-9794,Digital,High
POL-1C33A5B8,Personal,Auto,2018-05-17,2024-05-15,AGT-3082,Agent,Low
POL-79319130,Commercial,Liability,2017-03-27,2025-03-25,AGT-6219,Agent,High
POL-E81A7540,Personal,Auto,2016-08-02,2026-07-31,AGT-2962,Digital,Mid
POL-169EEC4F,Personal,Auto,2019-09-03,2029-08-31,AGT-9203,Direct,High
POL-7227A812,Personal,Auto,2017-11-30,2025-11-28,AGT-7624,Digital,Low
POL-F4F678D5,Personal,Auto,2020-01-25,2025-01-23,AGT-4733,Agent,Low
POL-93EFF178,Personal,Auto,2016-04-29,2026-04-27,AGT-1723,Digital,Low
POL-27FE38D9,Personal,Auto,2018-04-07,2028-04-04,AGT-2374,Broker,Mid
POL-DED64FB9,Personal,Auto,2016-07-30,2022-07-29,AGT-3184,Broker,Low
POL-1BC573DA,Commercial,Commercial,2018-07-14,2025-07-12,AGT-4656,Broker,High
POL-C14257BD,Personal,Auto,2016-11-16,2021-11-15,AGT-8972,Direct,High
POL-79A5772C,Personal,Auto,2016-12-01,2025-11-29,AGT-2076,Broker,Mid
POL-25C628DD,Personal,Auto,2018-10-10,2027-10-08,AGT-6191,Digital,Low
POL-1415F57E,Personal,Auto,2017-03-14,2022-03-13,AGT-4125,Digital,Mid
POL-A7DC774E,Personal,Auto,2016-01-15,2025-01-12,AGT-1419,Digital,Low
POL-12E5183C,Personal,Auto,2021-11-25,2028-11-23,AGT-6573,Broker,Mid
POL-36074843,Commercial,Liability,2015-12-11,2023-12-09,AGT-7337,Broker,High
POL-6E0530E3,Personal,Auto,2018-04-02,2024-03-31,AGT-9634,Agent,Mid
POL-E5728C28,Personal,Auto,2018-01-18,2027-01-16,AGT-5559,Broker,Low
POL-79C37867,Personal,Auto,2017-09-06,2024-09-04,AGT-3928,Broker,Mid
POL-AA829E3E,Personal,Homeowners,2018-08-03,2028-07-31,AGT-8689,Direct,Mid
POL-AA4B880D,Personal,Auto,2015-11-21,2020-11-19,AGT-3225,Direct,Low
POL-9555B798,Personal,Auto,2019-07-30,2027-07-28,AGT-7141,Broker,High
POL-5A78DEF0,Commercial,Commercial,2016-10-04,2022-10-03,AGT-9489,Agent,High
POL-909EEE6F,Personal,Auto,2016-10-14,2026-10-12,AGT-1040,Agent,Mid
POL-D930846B,Commercial,Liability,2017-01-04,2025-01-02,AGT-9325,Direct,High
POL-62974478,Personal,Auto,2020-02-24,2029-02-21,AGT-2851,Broker,Low
POL-85B8FC69,Personal,Auto,2019-10-12,2024-10-10,AGT-5333,Digital,Mid
POL-E8E47EAD,Personal,Auto,2021-03-07,2030-03-05,AGT-3321,Broker,High
POL-5862A9F4,Commercial,Liability,2019-03-17,2024-03-15,AGT-2300,Digital,High
POL-226F40BD,Personal,Auto,2019-10-02,2026-09-30,AGT-7319,Digital,Low
POL-9883ED88,Personal,Auto,2018-03-16,2024-03-14,AGT-5339,Agent,High
POL-DA037CA9,Personal,Auto,2020-02-24,2025-02-22,AGT-5583,Direct,Low
POL-03C517FB,Personal,Auto,2018-01-05,2026-01-03,AGT-5351,Agent,Low
